id,main_speaker,main_speaker_description
3648,Siddhartha Mukherjee,"Siddhartha Mukherjee (born 21 July 1970) is an Indian-American physician, biologist, oncologist, and author."
3649,Siddhartha Roy,"Siddhartha Roy (born 1954) is an Indian structural biologist, biophysicist, former Director of the Indian Institute of Chemical Biology and the current Director (Officiating) of Bose Institute."
3650,Siddharthan Chandran,"Amyotrophic lateral sclerosis (ALS), also known as motor neurone disease (MND) or Lou Gehrig's disease,  is a neurodegenerative neuromuscular disease that results in the progressive loss of motor neurons that control voluntary muscles."
3651,Siegfried Woldhek,"Siegfried Woldhek (born May 14, 1951) is a Dutch artist and illustrator."
3652,Sierra Hull,"Sierra Dawn Hull (born September 27, 1991) is an American bluegrass singer-songwriter, mandolinist, and guitarist.Hull was signed to Rounder Records at the age of 13 and released her debut vocal album, Secrets, in 2008 at the age of 16."
3653,Sigrid,"Sigrid  is a Scandinavian given name for women from Old Norse Sigríðr, meaning ""victory"", ""wisdom"", and ""beautiful""."
3654,Silk Road Ensemble,"Silkroad, formerly the Silk Road Project, Inc., is a not-for-profit organization, initiated by the cellist Yo-Yo Ma in 1998, promoting collaboration among artists and institutions, promoting multicultural artistic exchange, and studying the ebb and flow of ideas."
3655,Silk Road Ensemble + Rhiannon Giddens,"Rhiannon Giddens (born February 21, 1977) is an American musician."
3656,Silvia Moreno-García,"Silvia Moreno-Garcia (born 25 April 1981) is a Mexican Canadian novelist, short story writer, editor, and publisher."
3657,Simon Anholt,"Simon Anholt is an independent policy advisor who has worked to help develop and implement strategies for enhanced economic, political and cultural engagement with other countries."
3658,Simon Berrow,The Irish Whale and Dolphin Group (IWDG) is a cetacean conservation and outreach organisation based in Ireland.
3659,Simon Lewis,
3660,Simon Sinek,
3661,Simona Abdallah,"Louisiana Literature Festival is an annual literary festival which takes place around the third weekend of August at the Louisiana Museum of Modern Art, 35 km (22 mi) north of Copenhagen, Denmark."
3662,Simona Francese,"Gunshot residue (GSR), also known as cartridge discharge residue (CDR), ""gunfire residue"" (GFR), or firearm discharge residue (FDR), is residue deposited on the hands and clothes of someone who discharges a firearm."
3663,Simone Bianco and Tom Zimmerman,"The Colombo crime family (, Italian pronunciation: [koˈlombo]) is the youngest of the ""Five Families"" that dominates organized crime activities in New York City, United States, within the nationwide criminal organization known as the American Mafia."
3664,Simone Giertz,"Simone Luna Louise Söderlund Giertz (; Swedish: [ˈjæʈːʂ]; born 1 November 1990) is a Swedish inventor, maker, robotics enthusiast, TV host, and professional YouTuber."
3665,Sinan Aral,"Deb Roy is a Canadian scientist, tenured professor at MIT, and the executive director of the MIT Media Lab."
3666,Sinéad Burke,"Sinéad Burke (born 1990) is an Irish writer, academic and disability activist, popular for her TED talk 'Why design should include everyone'."
3667,Sir Ken Robinson,"Sir Ken Robinson (4 March 1950 – 21 August 2020) was a British author, speaker and international advisor on education in the arts to government, non-profits, education and arts bodies."
3668,Sirena Huang,"Sirena Huang (born May 18, 1994) is an American concert violinist."
3669,Sisonke Msimang,"Sisonke Msimang (born 1974) is a South African writer, speaker, and activist based in Australia."
3670,Sitawa Wafula,"Azziad Nasenya Wafula is a Kenyan actress, content creator, media host and social media personality."
3671,Sivamani,"Sivamani (1 December 1959), commonly known by his stage name Drums Sivamani, is an Indian percussionist and music director."
3672,Siyanda Mohutsiwa,Siyanda Mohutsiwa (born 1993) is an internationally recognised satirical writer and speaker from Botswana.
3673,Skye C. Cleary,"William Jackson Harper (born William Fitzgerald Harper; February 8, 1980) is an American actor and playwright."
3674,Skylar Tibbits,Skylar Tibbits is an American designer and computer scientist.
3675,Sleepy Man Banjo Boys,"Sleepy Man (prior to late 2014 known as Sleepy Man Banjo Boys) is a bluegrass music band from Lebanon Township, New Jersey, United States."
3676,Smruti Jukur Johari,
3677,Sofi Tukker,
3678,Sofia Jawed-Wessel,"The following is a list of music albums, EPs, and mixtapes released in 2020."
3679,Soka Moses,"An epidemic of Ebola virus disease occurred in Liberia from 2014 to 2015, along with the neighbouring countries of Guinea and Sierra Leone."
3680,Sonaar Luthra,
3681,Sonia Livingstone,"Sonia Livingstone  is a professor of Social Psychology and former head of the Department of Media and Communications at the London School of Economics and Political Science and has dedicated much of her research to children, media and the Internet."
3682,Sonia Shah,"Sonia Shah (born 1969 in New York City, United States) is an American investigative journalist and author of articles and books on corporate power, global health and human rights."
3683,Sophal Ear,"Sophal Ear is a Cambodian-American political scientist and expert in political economy, diplomacy, world affairs, and international development."
3684,Sophia Wallace,Sophia Wallace (born 1978) is an American conceptual artist and photographer.
3685,Sophie Andrews,"Sophie's Choice is a 1982 American drama film directed and written by Alan J. Pakula, adapted from William Styron's 1979 novel of the same name."
3686,Sophie Howe,"Sophie Howe is the Future Generations Commissioner for Wales, appointed in 2016."
3687,Sophie Hunger,"Sophie Hunger (born Émilie Jeanne-Sophie Welti on 31 March 1983) is a Swiss singer-songwriter, film composer, multi-instrumentalist (guitar, blues harp, piano) and bandleader, currently living in Berlin."
3688,Sophie Rose,"The White Rose (German: Weiße Rose, pronounced [ˈvaɪ̯sə ˈʁoːzə] (listen)) was a non-violent, intellectual resistance group in Nazi Germany led by a group of students from the University of Munich, including Sophie Scholl, Hans Scholl and Alexander Schmorell."
3689,Sophie Scott,Sophie Kerttu Scott  (born 16 November 1966) is a British neuroscientist and Wellcome Trust Senior Fellow at University College London (UCL).
3690,Sophie Zadeh,"A fuzzy concept is a concept of which the boundaries of application can vary considerably according to context or conditions, instead of being fixed once and for all."
3691,Soraya Chemaly,"Fifty Shades is a series of erotic novels by E. L. James, initially a trilogy consisting of Fifty Shades of Grey (2011), Fifty Shades Darker (2012) and Fifty Shades Freed (2012)."
3692,Soraya Field Fiorio,"The reliability of Wikipedia concerns the validity, verifiability, and veracity of Wikipedia and its user-generated editing model, particularly its English-language edition."
3693,Sougwen Chung,"Sougwen Chung (鍾愫君) is a Chinese-born, Canadian-raised artist residing in New York City."
3694,Soyapi Mumba,
3695,Spencer Wells,"Spencer Wells (born April 6, 1969) is an American geneticist, anthropologist, author and entrepreneur."
3696,Srdja Popovic,
3697,Srikumar Rao,"Srikumar S. Rao (born 11 April 1951) is a speaker, author, former business school professor and creator of Creativity and Personal Mastery (CPM), a course designed to effect personal transformation."
3698,Stacey Abrams,
3699,Stacey Kramer,
3700,Stacie Bosley,A dead-end job is a job where there is little or no chance of career development and advancement into a higher paid position.
3701,Stacy Smith,"Stacy Smith is a retired news anchor at CBS owned and operated KDKA-TV, a local television station based out of Pittsburgh, Pennsylvania."
3702,Stan Lee,
3703,Stanley McChrystal,"Stanley Allen McChrystal (born August 14, 1954) is a retired United States Army general best known for his command of Joint Special Operations Command (JSOC) in the mid-2000s."
3704,Stefaan Verhulst,Stefaan G. Verhulst (born 1966) is the Co-Founder and Chief Research and Development Officer of the The Governance Laboratory (The GovLab) at New York University.
3705,Stefan Al,"Ștefan Petriceicu (Romanian: Ștefan al XI-lea Petriceicu, died 1690) was three times Voivode of Moldavia (August 1672 – November 1673, December 1673 – February 1674, December 1683 – March 1684)."
3706,Stefan C. Dombrowski,"Barbital (or barbitone), marketed under the brand names Veronal for the pure acid and Medinal for the sodium salt, was the first commercially available barbiturate."
3707,Stefan Gross-Selbeck,
3708,Stefan Larsson,Stefan Larsson (born 1974) is an American fashion industry executive.
3709,Stefan Sagmeister,"Stefan Sagmeister (born August 6, 1962) is an Austrian graphic designer, storyteller, and typographer based in New York City."
3710,Stefan Wolff,Stefan Wolff is a German political scientist.
3711,Stefana Broadbent,"Marko Ahtisaari (born 1969 in Helsinki, Finland) is a Finnish technology entrepreneur and musician."
3712,Stefano Mancuso,"Stefano Mancuso (born 9 May 1965) is an Italian botanist,  professor of the Agriculture, Food, Environment and Forestry department at his alma mater, the University of Florence."
3713,Stefen Chow,
3714,Stefon Harris,"Stefon DeLeon Harris (born March 23, 1973) is an American jazz vibraphonist."
3715,Stella Young,"Stella Jane Young (24 February 1982 – 6 December 2014) was an Australian comedian, journalist and disability rights activist."
3716,Stephanie Braccini Slade,
3717,Stephanie Busari,Stephanie Busari is a Nigerian journalist notable for exclusively obtaining the ‘proof of life’ video for the missing Chibok schoolgirls in the wake of the Bring Back Our Girls advocacy which led to negotiations with Boko Haram that resulted in the release of over 100 of the kidnapped schoolgirls.
3718,Stephanie Sardelis,"Barracuda is an Australian drama miniseries, first broadcast on ABC-TV starting 10 July 2016."
3719,Stephanie Warren,"Warren Edward Buffett ( BUFF-itt; born August 30, 1930) is an American investor, business tycoon, philanthropist, and the chairman and CEO of Berkshire Hathaway."
3720,Stephen Bax,"The Voynich manuscript is an illustrated codex hand-written in an otherwise unknown writing system, referred to as 'Voynichese'."
3721,Stephen Burt,
3722,Stephen Cave,"Sir Stephen Cave  (28 December 1820 – 6 June 1880) was a British lawyer, writer and Conservative politician."
3723,Stephen Coleman,"Stephen Coleman (born January 29, 1973) is an American film orchestrator and conductor."
3724,Stephen DeBerry,"Alexandria Danielle DeBerry (born October 26, 1994) is an American actress and model."
3725,Stephen Doyle,
3726,Stephen Friend,Stephen H. Friend is co-founder and director of Sage Bionetworks.Formerly Senior Vice-President at Merck & Co.
3727,Stephen Hawking,"Stephen William Hawking  (8 January 1942 – 14 March 2018) was an English theoretical physicist, cosmologist, and author who was director of research at the Centre for Theoretical Cosmology at the University of Cambridge at the time of his death."
3728,Stephen Lawler,"Tyron Lakent Woodley (born April 17, 1982) is an American professional mixed martial artist, and broadcast analyst."
3729,Stephen Lawrence,"Stephen Lawrence (13 September 1974 – 22 April 1993) was a black British teenager from Plumstead, southeast London, who was murdered in a racially motivated attack while waiting for a bus in Well Hall, Eltham on the evening of 22 April 1993."
3730,Stephen Palumbi,"Stephen R. Palumbi (born October 17, 1956, in Baltimore, MD) is the Jane and Marshall Steel Jr."
